id,sex,age,n_siblings_spouses,parch,fare,class,embark_town,alone,predict,survived,x,y,predict0,predict1
32,0,27.0,1,0,21.0,1,2,0,1,0,-12.929272651672363,17.761343002319336,0.2778417645084875,0.7221582354915129
33,1,28.0,0,0,7.8958,2,0,1,0,0,9.722709655761719,2.071345090866089,0.7975042376122764,0.20249576238772385
34,0,3.0,1,2,41.5792,1,0,0,1,1,-11.61620807647705,9.12187385559082,0.14116657336420205,0.8588334266357979
35,1,28.0,0,0,8.05,2,2,1,0,0,28.707704544067383,-10.300649642944336,0.8615746660045037,0.13842533399549628
36,1,28.0,1,0,15.5,2,1,0,0,0,-0.9074128866195679,23.965576171875,0.7605366455523469,0.23946335444765288
37,1,28.0,2,0,21.6792,2,0,0,0,0,-0.7590827941894531,23.79733657836914,0.714357787504089,0.2856422124959109
38,0,18.0,1,0,17.8,2,2,0,1,0,-14.821331977844238,20.6074275970459,0.4220519147668282,0.5779480852331718
39,1,7.0,4,1,39.6875,2,2,0,0,0,3.927964448928833,21.182374954223633,0.8764492670002686,0.12355073299973145
40,0,49.0,1,0,76.7292,0,0,0,1,1,-8.556984901428223,11.839112281799316,0.11232580961051335,0.8876741903894864
41,0,29.0,1,0,26.0,1,2,0,1,1,-12.91712760925293,17.757869720458984,0.26394591971564174,0.7360540802843586
42,1,65.0,0,1,61.9792,0,0,0,0,0,-3.6834115982055664,13.677511215209961,0.6111136109670241,0.3888863890329756
43,1,28.0,0,0,35.5,0,2,1,0,1,-21.157020568847656,-11.168375015258789,0.6076914045628251,0.39230859543717495
44,0,21.0,0,0,10.5,1,2,1,1,1,1.5502442121505737,-16.152769088745117,0.3291167337424285,0.6708832662575717
45,1,28.5,0,0,7.2292,2,0,1,0,0,9.261911392211914,2.350398302078247,0.8278029864330169,0.1721970135669833
46,1,11.0,5,2,46.9,2,2,0,0,0,4.739522933959961,22.36111068725586,0.9019498731140887,0.09805012688591132
47,1,22.0,0,0,7.2292,2,0,1,0,0,9.759132385253906,1.676153302192688,0.8233724266208395,0.17662757337916055
48,0,38.0,0,0,80.0,0,2,1,1,1,-1.3808332681655884,-15.349370002746582,0.159108967605098,0.8408910323949021
49,1,45.0,1,0,83.475,0,2,0,0,0,-5.904886245727539,20.8879337310791,0.5568060693204554,0.4431939306795446
50,1,4.0,3,2,27.9,2,2,0,0,0,4.876512050628662,22.11614227294922,0.8377951609671119,0.162204839032888
51,1,28.0,1,1,15.2458,2,0,0,0,1,2.9223296642303467,18.059751510620117,0.6642705925562654,0.33572940744373453
52,1,19.0,0,0,8.1583,2,2,1,0,0,32.1771354675293,1.7909976243972778,0.8640095988601939,0.13599040113980612
53,0,17.0,4,2,7.925,2,2,0,0,1,-20.646617889404297,15.429678916931152,0.5783077876142779,0.42169221238572197
54,1,26.0,2,0,8.6625,2,2,0,0,0,-1.2634389400482178,26.434776306152344,0.8076986588978565,0.1923013411021438
55,1,32.0,0,0,10.5,1,2,1,0,0,-6.183913707733154,-27.63718605041504,0.8014245467941601,0.19857545320583994
56,1,21.0,0,0,73.5,1,2,1,0,0,-5.728645324707031,-30.368370056152344,0.6710168950144585,0.3289831049855416
57,1,32.0,0,0,56.4958,2,2,1,0,1,22.965103149414062,-12.336529731750488,0.6998693797284277,0.3001306202715723
58,1,25.0,0,0,7.65,2,2,1,0,0,30.047948837280273,-4.472780227661133,0.8746209136761953,0.12537908632380465
59,1,28.0,0,0,7.8958,2,2,1,0,0,27.476179122924805,-10.683385848999023,0.8766561437728937,0.12334385622710636
60,1,28.0,0,0,8.05,2,2,1,0,0,28.715152740478516,-10.269179344177246,0.8615746660045037,0.13842533399549628
61,1,0.83,0,2,29.0,1,2,0,1,1,-2.3756604194641113,20.869373321533203,0.4418361409895449,0.5581638590104552
62,0,30.0,0,0,12.475,2,2,1,1,1,5.856685161590576,-12.519500732421875,0.4286046897146955,0.5713953102853047
63,1,22.0,0,0,9.0,2,2,1,0,0,31.4261474609375,-1.3319511413574219,0.8546078035302194,0.14539219646978088
64,1,29.0,0,0,9.5,2,2,1,0,1,26.617517471313477,-12.900120735168457,0.8390712631326183,0.16092873686738168
65,0,28.0,0,0,7.7875,2,1,1,1,1,3.431391716003418,-7.946117877960205,0.4449925928995909,0.5550074071004092
66,1,28.0,0,0,47.1,0,2,1,0,0,-20.91028594970703,-11.169563293457031,0.6076914045628251,0.39230859543717495
67,1,16.0,1,3,34.375,2,2,0,0,0,2.7095582485198975,22.365510940551758,0.7675613541721327,0.232438645827867
68,1,28.0,0,0,8.05,2,2,1,0,0,28.48712158203125,-10.716508865356445,0.8615746660045037,0.13842533399549628
69,0,23.0,3,2,263.0,0,2,0,1,1,-13.267449378967285,9.499100685119629,0.3427676549857073,0.6572323450142926
70,1,24.0,0,0,8.05,2,2,1,0,0,30.442964553833008,-3.4573733806610107,0.8595954869311178,0.1404045130688824
71,1,46.0,1,0,61.175,0,2,0,0,0,-5.901083469390869,20.94744300842285,0.5875906793214695,0.41240932067853037
72,1,59.0,0,0,7.25,2,2,1,0,0,20.54034423828125,-19.796615600585938,0.8864890644348482,0.11351093556515175
73,1,28.0,0,0,8.05,2,2,1,0,0,28.471311569213867,-10.716423988342285,0.8615746660045037,0.13842533399549628
74,1,71.0,0,0,34.6542,0,0,1,0,0,-9.873804092407227,-12.522317886352539,0.6534573302736311,0.3465426697263688
75,1,23.0,0,1,63.3583,0,0,0,0,1,-3.8581831455230713,13.724048614501953,0.5419737185643564,0.45802628143564356
76,0,34.0,0,1,23.0,1,2,0,1,1,-15.575650215148926,14.521378517150879,0.23818543964053285,0.761814560359467
77,1,34.0,1,0,26.0,1,2,0,0,0,-4.8948516845703125,22.846696853637695,0.7163970466163978,0.283602953383602
78,0,28.0,0,0,7.8958,2,2,1,0,0,6.225062847137451,-12.457573890686035,0.5092938358723662,0.49070616412763385
79,1,28.0,0,0,7.8958,2,2,1,0,0,27.47618293762207,-10.683390617370605,0.8766561437728937,0.12334385622710636
80,1,21.0,0,1,77.2875,0,2,0,0,0,-3.376538038253784,20.07801055908203,0.5375271076227262,0.46247289237727385
81,1,33.0,0,0,8.6542,2,2,1,0,0,24.452953338623047,-15.980684280395508,0.866047023166301,0.13395297683369906
82,1,37.0,2,0,7.925,2,2,0,0,0,-1.2355819940567017,26.413400650024414,0.8183547448026764,0.1816452551973235
83,1,28.0,0,0,7.8958,2,2,1,0,0,28.201574325561523,-9.746386528015137,0.8766561437728937,0.12334385622710636
84,1,28.0,0,0,7.775,2,2,1,0,1,27.207162857055664,-10.109341621398926,0.865452772744662,0.13454722725533796
85,0,28.0,1,0,24.15,2,1,0,1,1,-18.061107635498047,20.541223526000977,0.3957962569373103,0.6042037430626898
86,1,47.0,0,0,52.0,0,2,1,0,0,-19.411344528198242,-11.90474796295166,0.6237530067363942,0.37624699326360583
87,0,14.5,1,0,14.4542,2,0,0,1,0,-17.997196197509766,21.087322235107422,0.36229790228741215,0.6377020977125879
88,1,22.0,0,0,8.05,2,2,1,0,0,31.10972785949707,-1.128373384475708,0.8595954869311178,0.1404045130688824
89,0,17.0,0,0,14.4583,2,0,1,1,0,2.243638038635254,-7.905176639556885,0.3440779726584222,0.6559220273415779
90,1,21.0,0,0,7.925,2,2,1,0,0,31.85468292236328,-0.2721647024154663,0.852388527224158,0.14761147277584208
91,1,70.5,0,0,7.75,2,1,1,0,0,13.415966987609863,3.970607280731201,0.8372713046490757,0.16272869535092419
92,1,29.0,1,0,21.0,1,2,0,0,0,-4.867103099822998,22.895465850830078,0.7129945402849743,0.28700545971502534
93,1,24.0,0,1,247.5208,0,0,0,0,0,-3.695204496383667,13.638717651367188,0.5267430313987354,0.47325696860126454
94,1,28.0,0,0,8.05,2,2,1,0,0,28.714651107788086,-10.27088451385498,0.8615746660045037,0.13842533399549628
95,1,32.5,1,0,30.0708,1,0,0,0,0,-5.247379302978516,16.9752197265625,0.676088991064137,0.32391100893586283
96,0,32.5,0,0,13.0,1,2,1,1,1,1.378328800201416,-16.835460662841797,0.2875418019166155,0.7124581980833846
97,1,28.0,0,0,7.75,2,1,1,0,0,12.14002513885498,2.97182035446167,0.8500764428096048,0.14992355719039518
98,1,24.0,0,0,7.1417,2,2,1,0,1,30.464216232299805,-3.4077210426330566,0.8797751948903993,0.12022480510960078
99,1,45.0,0,0,6.975,2,2,1,0,0,21.674562454223633,-18.849834442138672,0.8929477233624407,0.10705227663755922
100,1,20.0,0,0,7.05,2,2,1,0,0,32.26231002807617,0.8260969519615173,0.8871591550316057,0.11284084496839426
101,0,47.0,1,0,14.5,2,2,0,1,0,-14.789774894714355,20.530838012695312,0.46895883642791253,0.5310411635720875
102,1,23.0,0,0,15.0458,1,0,1,0,0,-10.551427841186523,-15.423578262329102,0.728659165091098,0.2713408349089022
103,0,19.0,0,2,26.2833,0,2,0,1,1,-13.892791748046875,14.438359260559082,0.22379863188874322,0.776201368111257
104,1,37.0,1,0,53.1,0,2,0,0,0,-5.950775146484375,21.197185516357422,0.5790405570040178,0.42095944299598215
105,1,16.0,0,0,9.2167,2,2,1,0,0,32.84573745727539,3.454721450805664,0.8443528890566938,0.1556471109433063
106,1,24.0,0,0,79.2,0,0,1,0,0,-10.40403938293457,-13.191530227661133,0.5375996074626674,0.46240039253733245
107,0,28.0,0,2,15.2458,2,0,0,1,0,-19.949888229370117,18.804431915283203,0.3874012671086543,0.6125987328913456
108,0,22.0,0,0,7.75,2,2,1,1,1,5.981774806976318,-11.79535961151123,0.4896654563054096,0.5103345436945904
109,1,19.0,0,0,6.75,2,1,1,0,0,12.71967601776123,3.0968968868255615,0.8752651759019768,0.124734824098023
110,1,18.0,0,0,11.5,1,2,1,0,0,-4.923881530761719,-30.00592803955078,0.7808111653851908,0.21918883461480917
111,0,9.0,2,2,34.375,2,2,0,0,0,-20.725357055664062,15.430115699768066,0.5480642872996815,0.4519357127003183
112,1,51.0,0,0,12.525,1,2,1,0,0,-8.58298110961914,-27.230182647705078,0.7803250675137662,0.2196749324862339
113,1,55.5,0,0,8.05,2,2,1,0,0,20.703475952148438,-19.66689109802246,0.8589404102193003,0.14105958978069963
114,1,40.5,0,2,14.5,2,2,0,0,0,0.3977475166320801,26.195518493652344,0.7390941478423332,0.2609058521576669
115,1,28.0,0,0,7.3125,2,2,1,0,0,26.454025268554688,-9.426867485046387,0.8836421075333852,0.1163578924666147
116,1,51.0,0,1,61.3792,0,0,0,0,0,-3.7846827507019043,13.71763801574707,0.568326150590702,0.43167384940929787
117,0,16.0,0,0,7.7333,2,1,1,1,1,3.250340461730957,-7.39624547958374,0.41952353222723965,0.5804764677727604
118,1,28.0,0,0,8.6625,2,2,1,0,0,29.40509796142578,-11.359479904174805,0.8618124566114628,0.13818754338853734
119,1,28.0,8,2,69.55,2,2,0,0,0,4.3997483253479,22.707439422607422,0.9072053749351998,0.09279462506480016
120,1,44.0,0,1,16.1,2,2,0,0,0,0.5196779370307922,26.12544822692871,0.7325716780697217,0.26742832193027843
121,1,26.0,0,0,7.775,2,2,1,0,0,29.669086456298828,-5.407901763916016,0.8612468084653199,0.13875319153468005
122,1,17.0,0,0,8.6625,2,2,1,0,0,33.10746383666992,2.9182801246643066,0.8563513360375242,0.14364866396247591
123,1,1.0,4,1,39.6875,2,2,0,0,0,4.0349812507629395,21.10713005065918,0.8113162470895834,0.1886837529104166
124,0,28.0,0,1,55.0,0,2,0,1,1,-13.98011302947998,14.043821334838867,0.20415086978032396,0.7958491302196761
125,1,28.0,0,0,56.4958,2,2,1,0,0,23.064374923706055,-11.654375076293945,0.6961070457572964,0.3038929542427036
126,1,4.0,4,1,29.125,2,1,0,0,0,4.58174991607666,18.86597442626953,0.8767577459007312,0.12324225409926873
127,1,18.0,1,1,7.8542,2,2,0,0,0,2.2765302658081055,21.771255493164062,0.7796927662220707,0.22030723377792932
128,1,28.0,3,1,25.4667,2,2,0,0,0,3.4464271068573,21.430103302001953,0.8779791214977611,0.12202087850223899
129,0,50.0,0,0,28.7125,0,0,1,1,0,-4.914802551269531,-12.013381004333496,0.23485899975768706,0.765141000242313
130,1,30.0,0,0,13.0,1,2,1,0,0,-5.483436584472656,-27.491689682006836,0.7657723681688018,0.23422763183119819
131,1,36.0,0,0,0.0,2,2,1,0,0,23.295251846313477,-17.24750328063965,0.8954168765940524,0.1045831234059475
132,0,28.0,8,2,69.55,2,2,0,0,0,-20.597461700439453,15.372716903686523,0.7905144838036311,0.20948551619636874
133,1,28.0,0,0,15.05,1,0,1,0,0,-10.552858352661133,-15.41860580444336,0.7245001454529075,0.2754998545470926
134,1,9.0,4,2,31.3875,2,2,0,0,0,4.730225563049316,22.026988983154297,0.8751163029941429,0.1248836970058571
135,0,4.0,0,2,22.025,2,2,0,1,1,-18.08470916748047,16.895671844482422,0.36309268473997447,0.6369073152600256
136,0,28.0,1,0,15.5,2,1,0,1,1,-18.06202507019043,20.53773307800293,0.3900919334086833,0.6099080665913167
137,1,45.0,0,0,26.55,0,2,1,0,1,-19.96714210510254,-12.368939399719238,0.6065833353115854,0.3934166646884146
138,1,36.0,0,0,7.8958,2,2,1,0,0,23.4913272857666,-17.04854965209961,0.8829959734856268,0.11700402651437339
139,0,32.0,0,0,13.0,1,2,1,1,1,1.4161919355392456,-16.82552719116211,0.2875418019166155,0.7124581980833846
140,0,19.0,1,0,7.8542,2,2,0,1,1,-14.817300796508789,20.61698341369629,0.48851933486145444,0.5114806651385455
141,1,3.0,1,1,26.0,1,2,0,1,1,-0.4054833650588989,18.218639373779297,0.464926046575492,0.535073953424508
142,0,44.0,0,0,27.7208,0,0,1,1,1,-4.765588283538818,-12.076926231384277,0.2155213410395936,0.7844786589604066
143,0,58.0,0,0,146.5208,0,0,1,1,1,-5.267484664916992,-11.610893249511719,0.10680294139513395,0.893197058604866
144,1,28.0,0,0,7.75,2,1,1,0,0,11.782295227050781,3.3230836391448975,0.8500764428096048,0.14992355719039518
145,0,28.0,0,0,7.75,2,1,1,1,1,3.6521332263946533,-7.636877536773682,0.4449925928995909,0.5550074071004092
146,0,24.0,0,0,13.0,1,2,1,1,0,1.6262691020965576,-16.273193359375,0.29475610756250736,0.7052438924374929
147,1,28.0,0,0,9.5,2,2,1,0,0,29.29901695251465,-12.07101821899414,0.840112696503279,0.15988730349672103
148,1,28.0,8,2,69.55,2,2,0,0,0,4.399167060852051,22.70716667175293,0.9072053749351998,0.09279462506480016
149,1,34.0,0,0,6.4958,2,2,1,0,0,24.092021942138672,-16.417232513427734,0.8962981309985626,0.10370186900143728
150,0,2.0,0,1,10.4625,2,2,0,1,0,-18.193307876586914,16.445636749267578,0.44661321311281255,0.5533867868871875
151,1,32.0,1,0,15.85,2,2,0,0,0,-2.5564355850219727,26.158397674560547,0.7753520810524945,0.22464791894750527
152,1,26.0,0,0,18.7875,2,0,1,0,1,9.355511665344238,1.5658626556396484,0.7298014330806508,0.27019856691934924
153,0,16.0,0,0,7.75,2,1,1,1,1,3.2521185874938965,-7.3948259353637695,0.4208164461457243,0.5791835538542758
154,1,40.0,0,0,31.0,0,0,1,0,1,-10.672534942626953,-12.786408424377441,0.6195737363921483,0.3804262636078514
155,0,35.0,0,0,21.0,1,2,1,1,1,1.1673020124435425,-16.841615676879883,0.2787767142226548,0.7212232857773454
156,1,22.0,0,0,7.25,2,2,1,0,0,31.531234741210938,-1.2056344747543335,0.8792196393348438,0.12078036066515634
157,1,28.0,1,0,7.75,2,1,0,0,0,-0.907214879989624,23.968948364257812,0.7990704370338249,0.2009295629661751
158,0,31.0,1,0,113.275,0,0,0,1,1,-8.58885383605957,12.153528213500977,0.09937815606201689,0.9006218439379827
159,0,27.0,0,0,7.925,2,2,1,1,1,6.345573902130127,-12.249044418334961,0.4970067007426829,0.5029932992573172
160,1,42.0,1,0,27.0,1,2,0,0,0,-4.9139180183410645,22.773746490478516,0.7077338804374241,0.2922661195625757
161,1,30.0,0,0,10.5,1,2,1,0,0,-5.582128524780273,-27.62021827697754,0.8014245467941601,0.19857545320583994
162,1,16.0,0,0,8.05,2,2,1,0,1,33.14314651489258,3.385439872741699,0.8493405724575922,0.15065942754240785
163,1,51.0,0,0,8.05,2,2,1,0,0,21.028152465820312,-19.402687072753906,0.8589404102193003,0.14105958978069963
164,1,22.0,0,0,9.35,2,2,1,0,0,31.114362716674805,-1.2201766967773438,0.8505904612626531,0.1494095387373471
165,1,19.0,0,0,10.5,1,2,1,0,1,-4.846329689025879,-29.83257293701172,0.7957092772347246,0.20429072276527535
166,1,20.5,0,0,7.25,2,2,1,0,0,31.979305267333984,0.30371540784835815,0.8808052155943331,0.11919478440566703
167,1,18.0,0,0,13.0,1,2,1,0,0,-4.9579572677612305,-30.00465965270996,0.7679582854210751,0.23204171457892478
168,0,28.0,3,1,25.4667,2,2,0,0,0,-19.799911499023438,14.853325843811035,0.7024630663503002,0.2975369336496995
169,0,35.0,1,0,83.475,0,2,0,1,1,-11.275120735168457,16.58696746826172,0.16111967385046505,0.8388803261495349
170,1,29.0,0,0,7.775,2,2,1,0,0,26.61168670654297,-12.884389877319336,0.866516602531896,0.13348339746810392
171,1,59.0,0,0,13.5,1,2,1,0,0,-8.89225959777832,-27.57219886779785,0.7788733830179253,0.22112661698207475
172,0,28.0,0,0,7.55,2,2,1,0,0,6.2261152267456055,-12.458041191101074,0.508971202799349,0.49102879720065107
173,1,44.0,1,0,26.0,1,2,0,0,0,-4.915349960327148,22.75798797607422,0.7194164766682114,0.28058352333178854
174,1,19.0,0,0,10.5,1,2,1,0,0,-4.846401691436768,-29.83214569091797,0.7957092772347246,0.20429072276527535
175,1,33.0,0,0,12.275,1,2,1,0,0,-6.148792266845703,-27.184078216552734,0.7779579864039953,0.2220420135960049
176,0,28.0,1,0,14.4542,2,0,0,1,0,-17.955322265625,21.09378433227539,0.3604753066528356,0.6395246933471643
177,0,28.0,1,0,15.5,2,1,0,1,1,-18.060277938842773,20.54201889038086,0.3900919334086833,0.6099080665913167
178,1,22.0,0,0,7.125,2,2,1,0,0,31.121219635009766,-1.0232092142105103,0.8855735787721164,0.11442642122788356
179,1,30.0,0,0,7.225,2,0,1,0,0,9.142423629760742,1.6987111568450928,0.8327658163859343,0.167234183614066
180,1,44.0,2,0,90.0,0,1,0,0,0,-4.525720119476318,14.995879173278809,0.5791640996905106,0.4208359003094893
181,0,24.0,0,2,14.5,1,2,0,1,1,-15.571977615356445,15.168336868286133,0.2516266878675608,0.7483733121324393
182,1,28.0,0,0,7.25,2,2,1,0,0,26.482431411743164,-9.20467758178711,0.8836421075333852,0.1163578924666147
183,0,29.0,1,1,10.4625,2,2,0,1,0,-19.778520584106445,13.812948226928711,0.49366900116222134,0.5063309988377787
184,1,30.0,1,0,16.1,2,2,0,0,0,-2.558807849884033,26.190473556518555,0.767640663729195,0.23235933627080485
185,0,41.0,0,2,20.2125,2,2,0,1,0,-17.890138626098633,16.95951271057129,0.46322994743701984,0.5367700525629802
186,0,28.0,0,0,79.2,0,0,1,1,1,-4.550047397613525,-11.975144386291504,0.10247636157122546,0.8975236384287745
187,0,35.0,0,0,512.3292,0,0,1,1,1,-5.680298328399658,-11.32846450805664,0.09309521487093851,0.9069047851290616
188,0,50.0,0,1,26.0,1,2,0,1,1,-15.548429489135742,14.429369926452637,0.24230919739969312,0.7576908026003067
189,1,28.0,0,0,7.75,2,1,1,0,0,11.786888122558594,3.7347984313964844,0.8500764428096048,0.14992355719039518
190,1,3.0,4,2,31.3875,2,2,0,0,1,4.887248516082764,21.92410659790039,0.8054311285192548,0.194568871480745
191,1,40.0,0,0,0.0,0,2,1,0,0,-20.449750900268555,-12.409016609191895,0.8246511793166955,0.17534882068330443
192,0,28.0,0,0,7.75,2,1,1,1,0,3.4236292839050293,-7.948758125305176,0.4449925928995909,0.5550074071004092
193,1,36.0,0,0,10.5,1,2,1,0,0,-6.823833465576172,-27.13483238220215,0.8083260475932574,0.19167395240674245
194,1,16.0,4,1,39.6875,2,2,0,0,0,3.736013412475586,21.289194107055664,0.9000045979924759,0.09999540200752417
195,1,25.0,1,0,7.775,2,2,0,0,1,-2.368678569793701,26.591978073120117,0.782385632480143,0.217614367519857
196,0,58.0,0,1,153.4625,0,2,0,1,1,-13.707189559936523,13.693238258361816,0.18883229255529002,0.8111677074447098
197,0,35.0,0,0,135.6333,0,2,1,1,1,-1.4546022415161133,-15.278573036193848,0.14411664958327955,0.8558833504167207
198,1,28.0,0,0,31.0,0,2,1,0,0,-21.274755477905273,-11.309682846069336,0.6040751057512801,0.39592489424872
199,1,25.0,0,0,0.0,2,2,1,0,1,30.234668731689453,-3.9534997940063477,0.8724594612820572,0.1275405387179427
200,0,41.0,0,1,19.5,1,2,0,1,1,-15.566834449768066,14.486739158630371,0.2586180765709946,0.7413819234290053
201,1,37.0,0,1,29.7,0,0,0,0,0,-3.864689588546753,13.750703811645508,0.5912576428635298,0.40874235713646984
202,0,28.0,0,0,7.75,2,1,1,1,1,3.4350948333740234,-7.9487786293029785,0.4449925928995909,0.5550074071004092
203,0,63.0,1,0,77.9583,0,2,0,1,1,-11.176916122436523,16.159339904785156,0.1892544312129072,0.8107455687870929
204,0,45.0,0,0,7.75,2,2,1,0,0,5.364396095275879,-12.235828399658203,0.5808387014976946,0.4191612985023056
205,1,28.0,0,0,0.0,1,2,1,0,0,-5.633563041687012,-28.320804595947266,0.8692889848252733,0.13071101517472686
206,1,7.0,4,1,29.125,2,1,0,0,0,4.575234889984131,18.871673583984375,0.891127244510251,0.108872755489749
207,0,35.0,1,1,20.25,2,2,0,1,1,-19.783550262451172,13.790984153747559,0.4316301811866141,0.5683698188133859
208,1,28.0,0,0,7.8542,2,2,1,0,0,27.670150756835938,-9.806173324584961,0.8744754812621981,0.12552451873780188
209,1,16.0,0,0,9.5,2,2,1,0,0,32.83806228637695,3.4576051235198975,0.8278786029563675,0.17212139704363266
210,1,28.0,0,0,26.0,0,2,1,0,0,-21.61701011657715,-11.90732479095459,0.66243203177512,0.33756796822488
211,0,26.0,0,0,78.85,0,2,1,1,1,-1.2834281921386719,-15.365310668945312,0.1616848221065008,0.8383151778934992
212,1,36.0,0,0,12.875,1,0,1,0,0,-10.5524263381958,-15.411521911621094,0.7480706694632333,0.2519293305367668
213,1,24.0,0,0,7.8958,2,2,1,0,0,30.44753646850586,-3.4597580432891846,0.873393320807168,0.126606679192832
214,1,28.0,0,0,30.5,0,2,1,0,1,-21.314292907714844,-11.326584815979004,0.5851130247988645,0.41488697520113554
215,0,50.0,0,1,247.5208,0,0,0,1,1,-10.447278022766113,10.96784496307373,0.1299187731330567,0.8700812268669431
216,0,28.0,0,0,7.75,2,1,1,1,1,3.6444780826568604,-7.631002902984619,0.4449925928995909,0.5550074071004092
217,1,19.0,0,0,0.0,2,2,1,0,0,33.091766357421875,2.2409567832946777,0.8782292433142262,0.12177075668577361
218,0,28.0,0,0,12.35,1,1,1,1,1,-2.2766947746276855,-11.533143043518066,0.2985484828431111,0.7014515171568888
219,1,28.0,0,0,8.05,2,2,1,0,0,28.707706451416016,-10.300644874572754,0.8615746660045037,0.13842533399549628
220,0,28.0,0,0,110.8833,0,0,1,1,1,-4.616011619567871,-11.673511505126953,0.09858937062099922,0.9014106293790007
221,0,17.0,1,0,108.9,0,0,0,1,1,-8.82103157043457,12.07715129852295,0.09776149273527648,0.9022385072647232
222,1,30.0,1,0,24.0,1,0,0,0,0,-5.249439239501953,16.995529174804688,0.6816966491287242,0.31830335087127554
223,0,30.0,0,0,56.9292,0,0,1,1,1,-4.509311199188232,-12.024778366088867,0.12656739177812626,0.8734326082218737
224,0,24.0,0,0,83.1583,0,0,1,1,1,-4.50855827331543,-11.724747657775879,0.100656792028008,0.899343207971992
225,0,18.0,2,2,262.375,0,0,0,1,1,-10.746132850646973,9.383103370666504,0.1602342497161611,0.8397657502838386
