,sex,age,n_siblings_spouses,parch,fare,class,embark_town,alone,predict,survived,x,y,predict0,predict1
34,0,3.0,1,2,41.5792,1,0,0,1,1,-13.946213722229004,-11.101999282836914,0.14116657336420205,0.8588334266357979
35,1,28.0,0,0,8.05,2,2,1,0,0,1.595068335533142,22.622892379760742,0.8615746660045037,0.13842533399549628
36,1,28.0,1,0,15.5,2,1,0,0,0,2.0645267963409424,7.756720066070557,0.7605366455523469,0.23946335444765288
37,1,28.0,2,0,21.6792,2,0,0,0,0,-0.16658739745616913,-5.319156169891357,0.714357787504089,0.2856422124959109
38,0,18.0,1,0,17.8,2,2,0,1,0,-13.63121509552002,4.846146583557129,0.4220519147668282,0.5779480852331718
39,1,7.0,4,1,39.6875,2,2,0,0,0,-13.3252592086792,-10.782247543334961,0.8764492670002686,0.12355073299973145
40,0,49.0,1,0,76.7292,0,0,0,1,1,3.919477701187134,-37.3486442565918,0.11232580961051335,0.8876741903894864
41,0,29.0,1,0,26.0,1,2,0,1,1,-0.8917391896247864,-8.09540843963623,0.26394591971564174,0.7360540802843586
42,1,65.0,0,1,61.9792,0,0,0,0,0,5.095328330993652,-33.87360763549805,0.6111136109670241,0.3888863890329756
43,1,28.0,0,0,35.5,0,2,1,0,1,-1.4448351860046387,-13.043802261352539,0.6076914045628251,0.39230859543717495
44,0,21.0,0,0,10.5,1,2,1,1,1,-12.981127738952637,11.998878479003906,0.3291167337424285,0.6708832662575717
45,1,28.5,0,0,7.2292,2,0,1,0,0,6.962233543395996,31.469432830810547,0.8278029864330169,0.1721970135669833
46,1,11.0,5,2,46.9,2,2,0,0,0,-12.765113830566406,-12.006891250610352,0.9019498731140887,0.09805012688591132
47,1,22.0,0,0,7.2292,2,0,1,0,0,-16.228736877441406,16.270090103149414,0.8233724266208395,0.17662757337916055
48,0,38.0,0,0,80.0,0,2,1,1,1,2.216068744659424,-38.45149612426758,0.159108967605098,0.8408910323949021
49,1,45.0,1,0,83.475,0,2,0,0,0,3.5034642219543457,-38.52925109863281,0.5568060693204554,0.4431939306795446
50,1,4.0,3,2,27.9,2,2,0,0,0,-14.601531028747559,-7.904038906097412,0.8377951609671119,0.162204839032888
51,1,28.0,1,1,15.2458,2,0,0,0,1,1.1855731010437012,8.218446731567383,0.6642705925562654,0.33572940744373453
52,1,19.0,0,0,8.1583,2,2,1,0,0,-17.325685501098633,11.233183860778809,0.8640095988601939,0.13599040113980612
53,0,17.0,4,2,7.925,2,2,0,0,1,-20.877412796020508,10.6121244430542,0.5783077876142779,0.42169221238572197
54,1,26.0,2,0,8.6625,2,2,0,0,0,-10.118353843688965,21.529781341552734,0.8076986588978565,0.1923013411021438
55,1,32.0,0,0,10.5,1,2,1,0,0,8.689263343811035,12.353917121887207,0.8014245467941601,0.19857545320583994
56,1,21.0,0,0,73.5,1,2,1,0,0,-1.3969435691833496,-38.09418487548828,0.6710168950144585,0.3289831049855416
57,1,32.0,0,0,56.4958,2,2,1,0,1,-0.4602775275707245,-31.886363983154297,0.6998693797284277,0.3001306202715723
58,1,25.0,0,0,7.65,2,2,1,0,0,-10.176239967346191,19.535533905029297,0.8746209136761953,0.12537908632380465
59,1,28.0,0,0,7.8958,2,2,1,0,0,-0.01567300595343113,23.876535415649414,0.8766561437728937,0.12334385622710636
60,1,28.0,0,0,8.05,2,2,1,0,0,1.258473515510559,23.050844192504883,0.8615746660045037,0.13842533399549628
61,1,0.83,0,2,29.0,1,2,0,1,1,-15.478479385375977,-8.178935050964355,0.4418361409895449,0.5581638590104552
62,0,30.0,0,0,12.475,2,2,1,1,1,4.90342903137207,10.534865379333496,0.4286046897146955,0.5713953102853047
63,1,22.0,0,0,9.0,2,2,1,0,0,-13.552752494812012,14.276715278625488,0.8546078035302194,0.14539219646978088
64,1,29.0,0,0,9.5,2,2,1,0,1,2.6865780353546143,19.216552734375,0.8390712631326183,0.16092873686738168
65,0,28.0,0,0,7.7875,2,1,1,1,1,1.4902743101119995,34.37440490722656,0.4449925928995909,0.5550074071004092
66,1,28.0,0,0,47.1,0,2,1,0,0,-1.6788880825042725,-30.081804275512695,0.6076914045628251,0.39230859543717495
67,1,16.0,1,3,34.375,2,2,0,0,0,-11.315054893493652,-10.182564735412598,0.7675613541721327,0.232438645827867
68,1,28.0,0,0,8.05,2,2,1,0,0,0.2827896773815155,23.025781631469727,0.8615746660045037,0.13842533399549628
69,0,23.0,3,2,263.0,0,2,0,1,1,5.7565765380859375,-50.5801887512207,0.3427676549857073,0.6572323450142926
70,1,24.0,0,0,8.05,2,2,1,0,0,-11.488000869750977,18.139432907104492,0.8595954869311178,0.1404045130688824
71,1,46.0,1,0,61.175,0,2,0,0,0,3.3646514415740967,-32.6305046081543,0.5875906793214695,0.41240932067853037
72,1,59.0,0,0,7.25,2,2,1,0,0,18.58048439025879,3.64721417427063,0.8864890644348482,0.11351093556515175
73,1,28.0,0,0,8.05,2,2,1,0,0,0.10555862635374069,23.096271514892578,0.8615746660045037,0.13842533399549628
74,1,71.0,0,0,34.6542,0,0,1,0,0,12.302539825439453,-15.45769214630127,0.6534573302736311,0.3465426697263688
75,1,23.0,0,1,63.3583,0,0,0,0,1,-1.8681920766830444,-34.454288482666016,0.5419737185643564,0.45802628143564356
76,0,34.0,0,1,23.0,1,2,0,1,1,4.191397666931152,-7.460221290588379,0.23818543964053285,0.761814560359467
77,1,34.0,1,0,26.0,1,2,0,0,0,4.0043230056762695,-9.19282054901123,0.7163970466163978,0.283602953383602
78,0,28.0,0,0,7.8958,2,2,1,0,0,-1.296074390411377,25.95525550842285,0.5092938358723662,0.49070616412763385
79,1,28.0,0,0,7.8958,2,2,1,0,0,0.1835535764694214,24.428686141967773,0.8766561437728937,0.12334385622710636
80,1,21.0,0,1,77.2875,0,2,0,0,0,-1.0839602947235107,-38.71415710449219,0.5375271076227262,0.46247289237727385
81,1,33.0,0,0,8.6542,2,2,1,0,0,11.623970985412598,13.409631729125977,0.866047023166301,0.13395297683369906
82,1,37.0,2,0,7.925,2,2,0,0,0,13.996935844421387,10.62449836730957,0.8183547448026764,0.1816452551973235
83,1,28.0,0,0,7.8958,2,2,1,0,0,0.3653199374675751,24.533620834350586,0.8766561437728937,0.12334385622710636
84,1,28.0,0,0,7.775,2,2,1,0,1,-1.2515536546707153,22.024375915527344,0.865452772744662,0.13454722725533796
85,0,28.0,1,0,24.15,2,1,0,1,1,-0.9839591383934021,-6.634995460510254,0.3957962569373103,0.6042037430626898
86,1,47.0,0,0,52.0,0,2,1,0,0,3.2997324466705322,-31.29718017578125,0.6237530067363942,0.37624699326360583
87,0,14.5,1,0,14.4542,2,0,0,1,0,-15.656261444091797,5.584005355834961,0.36229790228741215,0.6377020977125879
88,1,22.0,0,0,8.05,2,2,1,0,0,-14.067190170288086,15.105325698852539,0.8595954869311178,0.1404045130688824
89,0,17.0,0,0,14.4583,2,0,1,1,0,-15.093791961669922,6.01482629776001,0.3440779726584222,0.6559220273415779
90,1,21.0,0,0,7.925,2,2,1,0,0,-15.325950622558594,14.299845695495605,0.852388527224158,0.14761147277584208
91,1,70.5,0,0,7.75,2,1,1,0,0,19.176454544067383,2.4806149005889893,0.8372713046490757,0.16272869535092419
92,1,29.0,1,0,21.0,1,2,0,0,0,0.3262142241001129,-4.733809471130371,0.7129945402849743,0.28700545971502534
93,1,24.0,0,1,247.5208,0,0,0,0,0,5.590782165527344,-50.06376647949219,0.5267430313987354,0.47325696860126454
94,1,28.0,0,0,8.05,2,2,1,0,0,0.7905882000923157,22.486143112182617,0.8615746660045037,0.13842533399549628
95,1,32.5,1,0,30.0708,1,0,0,0,0,1.015173077583313,-11.324612617492676,0.676088991064137,0.32391100893586283
96,0,32.5,0,0,13.0,1,2,1,1,1,7.723278522491455,9.542375564575195,0.2875418019166155,0.7124581980833846
97,1,28.0,0,0,7.75,2,1,1,0,0,4.417625427246094,29.989070892333984,0.8500764428096048,0.14992355719039518
98,1,24.0,0,0,7.1417,2,2,1,0,1,-11.886029243469238,18.902254104614258,0.8797751948903993,0.12022480510960078
99,1,45.0,0,0,6.975,2,2,1,0,0,16.866329193115234,7.075992107391357,0.8929477233624407,0.10705227663755922
100,1,20.0,0,0,7.05,2,2,1,0,0,-17.074289321899414,13.258861541748047,0.8871591550316057,0.11284084496839426
101,0,47.0,1,0,14.5,2,2,0,1,0,15.295727729797363,4.9281158447265625,0.46895883642791253,0.5310411635720875
102,1,23.0,0,0,15.0458,1,0,1,0,0,-4.353126049041748,8.079524040222168,0.728659165091098,0.2713408349089022
103,0,19.0,0,2,26.2833,0,2,0,1,1,-7.214085102081299,-8.209409713745117,0.22379863188874322,0.776201368111257
104,1,37.0,1,0,53.1,0,2,0,0,0,0.7054932117462158,-31.257787704467773,0.5790405570040178,0.42095944299598215
105,1,16.0,0,0,9.2167,2,2,1,0,0,-18.428850173950195,8.102063179016113,0.8443528890566938,0.1556471109433063
106,1,24.0,0,0,79.2,0,0,1,0,0,-0.5217908024787903,-39.119510650634766,0.5375996074626674,0.46240039253733245
107,0,28.0,0,2,15.2458,2,0,0,1,0,0.5142778158187866,8.224044799804688,0.3874012671086543,0.6125987328913456
108,0,22.0,0,0,7.75,2,2,1,1,1,-14.484636306762695,17.135204315185547,0.4896654563054096,0.5103345436945904
109,1,19.0,0,0,6.75,2,1,1,0,0,-18.49393081665039,12.53076457977295,0.8752651759019768,0.124734824098023
110,1,18.0,0,0,11.5,1,2,1,0,0,-15.442344665527344,8.154263496398926,0.7808111653851908,0.21918883461480917
111,0,9.0,2,2,34.375,2,2,0,0,0,-13.113115310668945,-9.611634254455566,0.5480642872996815,0.4519357127003183
112,1,51.0,0,0,12.525,1,2,1,0,0,16.721105575561523,4.418923377990723,0.7803250675137662,0.2196749324862339
113,1,55.5,0,0,8.05,2,2,1,0,0,18.105052947998047,4.163132667541504,0.8589404102193003,0.14105958978069963
114,1,40.5,0,2,14.5,2,2,0,0,0,12.807110786437988,6.250234603881836,0.7390941478423332,0.2609058521576669
115,1,28.0,0,0,7.3125,2,2,1,0,0,1.853001356124878,26.02223014831543,0.8836421075333852,0.1163578924666147
116,1,51.0,0,1,61.3792,0,0,0,0,0,3.9874401092529297,-32.727298736572266,0.568326150590702,0.43167384940929787
117,0,16.0,0,0,7.7333,2,1,1,1,1,-19.884408950805664,8.146946907043457,0.41952353222723965,0.5804764677727604
118,1,28.0,0,0,8.6625,2,2,1,0,0,1.432715654373169,21.06159019470215,0.8618124566114628,0.13818754338853734
119,1,28.0,8,2,69.55,2,2,0,0,0,-1.0593925714492798,-36.48655319213867,0.9072053749351998,0.09279462506480016
120,1,44.0,0,1,16.1,2,2,0,0,0,14.103645324707031,5.219459533691406,0.7325716780697217,0.26742832193027843
121,1,26.0,0,0,7.775,2,2,1,0,0,-9.061689376831055,20.12281608581543,0.8612468084653199,0.13875319153468005
122,1,17.0,0,0,8.6625,2,2,1,0,0,-18.419023513793945,9.078608512878418,0.8563513360375242,0.14364866396247591
123,1,1.0,4,1,39.6875,2,2,0,0,0,-14.344205856323242,-10.733785629272461,0.8113162470895834,0.1886837529104166
124,0,28.0,0,1,55.0,0,2,0,1,1,-1.4465183019638062,-31.539846420288086,0.20415086978032396,0.7958491302196761
125,1,28.0,0,0,56.4958,2,2,1,0,0,-1.4732939004898071,-32.44291687011719,0.6961070457572964,0.3038929542427036
126,1,4.0,4,1,29.125,2,1,0,0,0,-14.517125129699707,-8.319818496704102,0.8767577459007312,0.12324225409926873
127,1,18.0,1,1,7.8542,2,2,0,0,0,-19.615859985351562,10.64586067199707,0.7796927662220707,0.22030723377792932
128,1,28.0,3,1,25.4667,2,2,0,0,0,-1.9098602533340454,-7.238049507141113,0.8779791214977611,0.12202087850223899
129,0,50.0,0,0,28.7125,0,0,1,1,0,9.910491943359375,-13.433799743652344,0.23485899975768706,0.765141000242313
130,1,30.0,0,0,13.0,1,2,1,0,0,4.918056964874268,9.943708419799805,0.7657723681688018,0.23422763183119819
131,1,36.0,0,0,0.0,2,2,1,0,0,16.62106704711914,12.177992820739746,0.8954168765940524,0.1045831234059475
132,0,28.0,8,2,69.55,2,2,0,0,0,-0.6213793754577637,-36.460113525390625,0.7905144838036311,0.20948551619636874
133,1,28.0,0,0,15.05,1,0,1,0,0,1.9925591945648193,8.77985954284668,0.7245001454529075,0.2754998545470926
134,1,9.0,4,2,31.3875,2,2,0,0,0,-13.284791946411133,-8.887234687805176,0.8751163029941429,0.1248836970058571
135,0,4.0,0,2,22.025,2,2,0,1,1,-15.44239616394043,-6.137053966522217,0.36309268473997447,0.6369073152600256
136,0,28.0,1,0,15.5,2,1,0,1,1,1.246135950088501,7.426015853881836,0.3900919334086833,0.6099080665913167
137,1,45.0,0,0,26.55,0,2,1,0,1,9.005448341369629,-12.204830169677734,0.6065833353115854,0.3934166646884146
138,1,36.0,0,0,7.8958,2,2,1,0,0,13.336786270141602,11.326311111450195,0.8829959734856268,0.11700402651437339
139,0,32.0,0,0,13.0,1,2,1,1,1,7.284414291381836,9.65284538269043,0.2875418019166155,0.7124581980833846
140,0,19.0,1,0,7.8542,2,2,0,1,1,-19.21885871887207,12.126103401184082,0.48851933486145444,0.5114806651385455
141,1,3.0,1,1,26.0,1,2,0,1,1,-15.10543155670166,-7.305926322937012,0.464926046575492,0.535073953424508
142,0,44.0,0,0,27.7208,0,0,1,1,1,8.423603057861328,-12.299431800842285,0.2155213410395936,0.7844786589604066
143,0,58.0,0,0,146.5208,0,0,1,1,1,3.2759246826171875,-46.94600296020508,0.10680294139513395,0.893197058604866
144,1,28.0,0,0,7.75,2,1,1,0,0,4.42072057723999,29.989398956298828,0.8500764428096048,0.14992355719039518
145,0,28.0,0,0,7.75,2,1,1,1,1,1.9743602275848389,34.312156677246094,0.4449925928995909,0.5550074071004092
146,0,24.0,0,0,13.0,1,2,1,1,0,-4.269704818725586,9.1775484085083,0.29475610756250736,0.7052438924374929
147,1,28.0,0,0,9.5,2,2,1,0,0,1.808674931526184,19.243619918823242,0.840112696503279,0.15988730349672103
148,1,28.0,8,2,69.55,2,2,0,0,0,-1.0593928098678589,-36.48655319213867,0.9072053749351998,0.09279462506480016
149,1,34.0,0,0,6.4958,2,2,1,0,0,13.278582572937012,13.297773361206055,0.8962981309985626,0.10370186900143728
150,0,2.0,0,1,10.4625,2,2,0,1,0,-17.70305633544922,-4.155795574188232,0.44661321311281255,0.5533867868871875
151,1,32.0,1,0,15.85,2,2,0,0,0,5.110193729400635,6.993689060211182,0.7753520810524945,0.22464791894750527
152,1,26.0,0,0,18.7875,2,0,1,0,1,-1.0454058647155762,6.114035606384277,0.7298014330806508,0.27019856691934924
153,0,16.0,0,0,7.75,2,1,1,1,1,-19.878164291381836,8.143540382385254,0.4208164461457243,0.5791835538542758
154,1,40.0,0,0,31.0,0,0,1,0,1,6.776096343994141,-12.05238151550293,0.6195737363921483,0.3804262636078514
155,0,35.0,0,0,21.0,1,2,1,1,1,4.524737358093262,-6.652808666229248,0.2787767142226548,0.7212232857773454
156,1,22.0,0,0,7.25,2,2,1,0,0,-14.468377113342285,15.860626220703125,0.8792196393348438,0.12078036066515634
157,1,28.0,1,0,7.75,2,1,0,0,0,4.579270839691162,27.7373104095459,0.7990704370338249,0.2009295629661751
158,0,31.0,1,0,113.275,0,0,0,1,1,3.1269822120666504,-43.78868103027344,0.09937815606201689,0.9006218439379827
159,0,27.0,0,0,7.925,2,2,1,1,1,0.2834759056568146,34.957763671875,0.4970067007426829,0.5029932992573172
160,1,42.0,1,0,27.0,1,2,0,0,0,7.89219331741333,-11.456032752990723,0.7077338804374241,0.2922661195625757
161,1,30.0,0,0,10.5,1,2,1,0,0,7.560361385345459,12.84557819366455,0.8014245467941601,0.19857545320583994
162,1,16.0,0,0,8.05,2,2,1,0,1,-19.186702728271484,8.457002639770508,0.8493405724575922,0.15065942754240785
163,1,51.0,0,0,8.05,2,2,1,0,0,17.512847900390625,5.078526496887207,0.8589404102193003,0.14105958978069963
164,1,22.0,0,0,9.35,2,2,1,0,0,-13.293543815612793,13.89666748046875,0.8505904612626531,0.1494095387373471
165,1,19.0,0,0,10.5,1,2,1,0,1,-15.320718765258789,9.217558860778809,0.7957092772347246,0.20429072276527535
166,1,20.5,0,0,7.25,2,2,1,0,0,-16.41265296936035,13.811387062072754,0.8808052155943331,0.11919478440566703
167,1,18.0,0,0,13.0,1,2,1,0,0,-15.150071144104004,7.491766452789307,0.7679582854210751,0.23204171457892478
168,0,28.0,3,1,25.4667,2,2,0,0,0,-2.0560781955718994,-7.039116859436035,0.7024630663503002,0.2975369336496995
169,0,35.0,1,0,83.475,0,2,0,1,1,1.7929614782333374,-39.19576644897461,0.16111967385046505,0.8388803261495349
170,1,29.0,0,0,7.775,2,2,1,0,0,3.7277708053588867,23.856868743896484,0.866516602531896,0.13348339746810392
171,1,59.0,0,0,13.5,1,2,1,0,0,17.87648582458496,2.9525275230407715,0.7788733830179253,0.22112661698207475
172,0,28.0,0,0,7.55,2,2,1,0,0,-1.2346901893615723,26.0754337310791,0.508971202799349,0.49102879720065107
173,1,44.0,1,0,26.0,1,2,0,0,0,8.841963768005371,-11.446624755859375,0.7194164766682114,0.28058352333178854
174,1,19.0,0,0,10.5,1,2,1,0,0,-15.297547340393066,9.33276653289795,0.7957092772347246,0.20429072276527535
175,1,33.0,0,0,12.275,1,2,1,0,0,8.592801094055176,9.85698127746582,0.7779579864039953,0.2220420135960049
176,0,28.0,1,0,14.4542,2,0,0,1,0,1.2796130180358887,8.67407512664795,0.3604753066528356,0.6395246933471643
177,0,28.0,1,0,15.5,2,1,0,1,1,1.2494720220565796,7.426044940948486,0.3900919334086833,0.6099080665913167
178,1,22.0,0,0,7.125,2,2,1,0,0,-14.72396183013916,15.84068775177002,0.8855735787721164,0.11442642122788356
179,1,30.0,0,0,7.225,2,0,1,0,0,8.506937026977539,31.3270206451416,0.8327658163859343,0.167234183614066
180,1,44.0,2,0,90.0,0,1,0,0,0,3.4857237339019775,-39.45261764526367,0.5791640996905106,0.4208359003094893
181,0,24.0,0,2,14.5,1,2,0,1,1,-3.438112258911133,8.123956680297852,0.2516266878675608,0.7483733121324393
182,1,28.0,0,0,7.25,2,2,1,0,0,1.5156798362731934,26.280664443969727,0.8836421075333852,0.1163578924666147
183,0,29.0,1,1,10.4625,2,2,0,1,0,2.669398069381714,17.72426986694336,0.49366900116222134,0.5063309988377787
184,1,30.0,1,0,16.1,2,2,0,0,0,3.4208762645721436,6.978635787963867,0.767640663729195,0.23235933627080485
185,0,41.0,0,2,20.2125,2,2,0,1,0,8.490252494812012,-7.683964729309082,0.46322994743701984,0.5367700525629802
186,0,28.0,0,0,79.2,0,0,1,1,1,0.29450109601020813,-38.74622344970703,0.10247636157122546,0.8975236384287745
187,0,35.0,0,0,512.3292,0,0,1,1,1,4.409099102020264,-52.13102340698242,0.09309521487093851,0.9069047851290616
188,0,50.0,0,1,26.0,1,2,0,1,1,10.48076057434082,-12.701874732971191,0.24230919739969312,0.7576908026003067
189,1,28.0,0,0,7.75,2,1,1,0,0,4.329999923706055,29.209238052368164,0.8500764428096048,0.14992355719039518
190,1,3.0,4,2,31.3875,2,2,0,0,1,-14.738903045654297,-9.056754112243652,0.8054311285192548,0.194568871480745
191,1,40.0,0,0,0.0,0,2,1,0,0,16.703336715698242,11.848357200622559,0.8246511793166955,0.17534882068330443
192,0,28.0,0,0,7.75,2,1,1,1,0,1.4893492460250854,33.469078063964844,0.4449925928995909,0.5550074071004092
193,1,36.0,0,0,10.5,1,2,1,0,0,11.758840560913086,9.964834213256836,0.8083260475932574,0.19167395240674245
194,1,16.0,4,1,39.6875,2,2,0,0,0,-11.601601600646973,-11.297335624694824,0.9000045979924759,0.09999540200752417
195,1,25.0,1,0,7.775,2,2,0,0,1,-10.54236125946045,20.736562728881836,0.782385632480143,0.217614367519857
196,0,58.0,0,1,153.4625,0,2,0,1,1,3.5071027278900146,-47.22224426269531,0.18883229255529002,0.8111677074447098
197,0,35.0,0,0,135.6333,0,2,1,1,1,3.8864808082580566,-45.599727630615234,0.14411664958327955,0.8558833504167207
198,1,28.0,0,0,31.0,0,2,1,0,0,-1.6830891370773315,-11.569846153259277,0.6040751057512801,0.39592489424872
199,1,25.0,0,0,0.0,2,2,1,0,1,-4.149669170379639,30.287137985229492,0.8724594612820572,0.1275405387179427
200,0,41.0,0,1,19.5,1,2,0,1,1,8.534735679626465,-7.574470520019531,0.2586180765709946,0.7413819234290053
201,1,37.0,0,1,29.7,0,0,0,0,0,5.2221150398254395,-11.319964408874512,0.5912576428635298,0.40874235713646984
202,0,28.0,0,0,7.75,2,1,1,1,1,1.9122658967971802,34.950599670410156,0.4449925928995909,0.5550074071004092
203,0,63.0,1,0,77.9583,0,2,0,1,1,5.686770915985107,-36.169342041015625,0.1892544312129072,0.8107455687870929
204,0,45.0,0,0,7.75,2,2,1,0,0,16.579051971435547,6.855777740478516,0.5808387014976946,0.4191612985023056
205,1,28.0,0,0,0.0,1,2,1,0,0,-3.5857441425323486,30.479185104370117,0.8692889848252733,0.13071101517472686
206,1,7.0,4,1,29.125,2,1,0,0,0,-13.868804931640625,-8.307497024536133,0.891127244510251,0.108872755489749
207,0,35.0,1,1,20.25,2,2,0,1,1,4.511504173278809,-6.164616107940674,0.4316301811866141,0.5683698188133859
208,1,28.0,0,0,7.8542,2,2,1,0,0,1.1727285385131836,24.599573135375977,0.8744754812621981,0.12552451873780188
209,1,16.0,0,0,9.5,2,2,1,0,0,-18.25118637084961,7.9884796142578125,0.8278786029563675,0.17212139704363266
210,1,28.0,0,0,26.0,0,2,1,0,0,-1.6262987852096558,-8.646798133850098,0.66243203177512,0.33756796822488
211,0,26.0,0,0,78.85,0,2,1,1,1,-0.20367105305194855,-38.825252532958984,0.1616848221065008,0.8383151778934992
212,1,36.0,0,0,12.875,1,0,1,0,0,10.634631156921387,8.4550142288208,0.7480706694632333,0.2519293305367668
213,1,24.0,0,0,7.8958,2,2,1,0,0,-11.412240982055664,18.281566619873047,0.873393320807168,0.126606679192832
214,1,28.0,0,0,30.5,0,2,1,0,1,-1.775564432144165,-11.26450252532959,0.5851130247988645,0.41488697520113554
215,0,50.0,0,1,247.5208,0,0,0,1,1,6.266364097595215,-50.04743194580078,0.1299187731330567,0.8700812268669431
216,0,28.0,0,0,7.75,2,1,1,1,1,1.956750750541687,34.30082702636719,0.4449925928995909,0.5550074071004092
217,1,19.0,0,0,0.0,2,2,1,0,0,-19.913562774658203,14.19460391998291,0.8782292433142262,0.12177075668577361
218,0,28.0,0,0,12.35,1,1,1,1,1,2.806797504425049,10.723601341247559,0.2985484828431111,0.7014515171568888
219,1,28.0,0,0,8.05,2,2,1,0,0,1.9776002168655396,23.010862350463867,0.8615746660045037,0.13842533399549628
220,0,28.0,0,0,110.8833,0,0,1,1,1,2.8045334815979004,-43.60377502441406,0.09858937062099922,0.9014106293790007
221,0,17.0,1,0,108.9,0,0,0,1,1,1.9315522909164429,-43.72330856323242,0.09776149273527648,0.9022385072647232
222,1,30.0,1,0,24.0,1,0,0,0,0,-0.0308116152882576,-6.882312774658203,0.6816966491287242,0.31830335087127554
223,0,30.0,0,0,56.9292,0,0,1,1,1,-0.8250163793563843,-32.27519989013672,0.12656739177812626,0.8734326082218737
224,0,24.0,0,0,83.1583,0,0,1,1,1,-0.13356232643127441,-39.75624465942383,0.100656792028008,0.899343207971992
225,0,18.0,2,2,262.375,0,0,0,1,1,5.113577842712402,-50.366294860839844,0.1602342497161611,0.8397657502838386
