Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Duration in Current address,Age (years),Creditability
1,15,2,1053,1,2,4,2,27,1
4,21,2,3160,5,5,4,3,41,1
4,36,2,3079,5,3,4,4,36,1
4,12,4,1163,3,3,4,4,44,1
4,24,2,2679,1,2,4,1,29,1
4,48,4,3578,5,5,4,1,47,1
4,36,3,10875,1,5,2,2,45,1
1,12,3,1344,1,3,4,2,43,1
4,6,4,1237,2,3,1,1,27,1
4,12,2,3077,1,3,2,4,52,1
4,24,2,2284,1,4,4,2,28,1
2,12,2,1567,1,3,1,1,22,1
4,24,3,2032,1,5,4,4,60,1
2,21,4,2745,4,4,3,2,32,1
4,30,2,1867,5,5,4,4,58,1
4,36,2,2299,3,5,4,4,39,1
4,24,2,929,5,4,4,2,31,1
3,12,2,3399,5,5,2,3,37,1
2,9,2,2030,5,4,2,1,24,1
4,21,4,3275,1,5,1,4,36,1
4,24,4,1940,4,5,4,4,60,1
1,21,4,1602,1,5,4,3,30,1
4,15,2,1979,5,5,4,2,35,1
4,24,4,2022,1,3,4,4,37,1
4,36,4,3342,5,5,4,2,51,1
2,18,2,5866,2,3,2,2,30,1
3,15,4,2360,3,3,2,2,36,1
4,15,4,1520,5,5,4,4,63,1
1,12,2,3651,4,3,1,3,31,1
4,24,4,2346,1,4,4,3,35,1
4,36,3,4454,1,3,4,4,34,1
1,6,4,666,4,4,3,4,39,1
2,24,3,1965,5,3,4,4,42,1
2,12,4,1995,2,2,4,1,27,1
2,30,2,2991,5,5,2,4,25,1
2,30,0,4221,1,3,2,1,28,1
1,9,2,1364,1,4,3,4,59,1
2,18,4,6361,1,5,2,1,41,1
4,27,4,4526,4,2,4,2,32,1
2,12,4,3573,1,3,1,1,23,1
2,36,3,4455,1,3,2,2,30,0
1,9,2,2136,1,3,3,2,25,1
2,42,4,5954,1,4,2,1,41,1
4,24,4,3777,4,3,4,4,40,1
1,15,2,806,1,3,4,4,22,1
2,24,3,4712,5,3,4,2,34,1
2,36,3,7432,1,3,2,2,54,1
4,24,4,1851,1,4,4,2,33,1
4,24,2,1393,1,3,2,2,31,1
4,12,4,1412,1,3,4,2,29,1
4,18,2,1473,1,2,3,4,39,1
4,24,2,1533,1,2,4,3,38,1
4,12,4,2012,5,4,4,2,61,1
1,15,2,3959,1,3,3,2,29,0
1,6,2,428,1,5,2,1,49,1
2,12,4,2366,3,4,3,3,36,1
4,12,2,763,1,3,4,1,26,1
2,21,2,3976,5,4,2,3,35,1
2,18,2,6260,1,4,3,3,28,1
2,9,4,1919,1,4,4,3,35,1
4,24,2,2603,4,3,2,4,28,1
4,9,4,936,3,5,4,2,52,1
4,24,2,3062,3,5,4,3,32,1
2,36,2,4795,1,2,4,1,30,1
4,36,4,5842,1,5,2,2,35,1
2,6,2,2063,1,2,4,3,30,1
4,15,4,1459,1,3,4,2,43,1
4,15,2,1213,3,5,4,3,47,1
4,24,4,5103,1,2,3,3,47,1
4,15,2,874,5,2,4,1,24,1
4,6,2,2978,3,3,1,2,32,1
4,18,2,1820,1,3,2,2,30,1
4,24,4,2872,2,5,3,4,36,1
3,24,2,1925,1,3,2,2,26,1
4,18,2,2515,1,3,3,4,43,1
3,6,2,2116,1,3,2,2,41,1
4,18,2,1453,1,2,3,1,26,1
4,10,2,1364,1,3,2,4,64,1
4,6,2,1543,4,3,4,2,33,1
2,12,2,1318,4,5,4,4,54,1
1,24,1,2325,2,4,2,3,32,1
2,6,4,932,5,4,1,3,39,1
3,24,4,3148,5,3,3,2,31,1
4,36,2,3835,5,5,2,4,45,1
4,9,2,3832,5,5,1,4,64,1
2,24,2,5084,5,5,2,4,42,1
4,9,4,2406,1,1,2,3,31,1
4,36,2,2394,5,3,4,4,25,1
4,21,2,2476,5,5,4,4,46,1
1,24,2,2964,5,5,4,4,49,1
1,12,2,1262,5,5,2,4,49,1
4,12,2,1542,1,4,2,4,36,1
2,24,4,1743,1,5,4,2,48,1
3,12,1,409,4,3,3,3,42,1
4,12,2,2171,1,2,2,2,29,1
4,48,4,8858,5,4,2,1,35,1
2,24,2,3512,2,4,2,3,38,1
2,12,2,1158,3,3,3,1,26,1
4,24,4,2684,1,3,4,2,35,1
1,12,2,1498,1,3,4,1,23,1
4,30,4,5954,1,4,3,2,38,1
2,48,1,6416,1,5,4,3,59,0
2,12,4,3617,1,5,1,4,28,1
4,12,4,1291,1,3,4,2,35,1
3,24,4,1275,4,3,2,4,36,1
4,24,2,3972,1,4,2,4,25,1
4,15,4,3343,1,3,4,2,28,1
3,15,2,392,1,2,4,4,23,1
4,9,4,2134,1,3,4,4,48,1
4,30,4,5771,1,4,4,2,25,1
4,24,4,4526,1,3,3,2,74,1
4,15,4,2788,1,4,2,3,24,1
4,6,4,1382,1,3,1,1,28,1
3,36,2,5848,1,3,4,1,24,1
1,12,2,1228,1,3,4,2,24,0
3,12,2,1297,1,3,3,4,23,1
4,24,2,1552,1,4,3,1,32,1
4,12,2,1963,1,4,4,2,31,1
4,24,2,3235,3,5,3,2,36,1
4,24,4,4139,2,3,3,3,27,1
2,12,4,1804,2,2,3,4,44,1
4,18,2,1950,1,4,4,1,34,1
4,48,3,12749,3,4,4,1,37,1
4,9,2,1236,1,2,1,4,23,1
4,18,4,1055,1,2,4,1,30,1
1,30,0,8072,5,2,2,3,25,1
4,30,4,2831,1,3,4,2,33,1
4,9,2,1449,1,4,3,2,27,1
4,36,2,5742,2,4,2,2,31,1
4,12,2,2390,5,5,4,3,50,1
4,24,2,3430,3,5,3,2,31,1
2,36,2,2273,1,4,3,1,32,1
3,21,2,2923,2,3,1,1,28,1
4,24,2,1901,2,3,4,4,29,1
2,36,2,3711,5,3,2,2,27,1
2,48,2,8487,5,4,1,2,24,1
4,24,2,2255,5,2,4,1,54,1
4,12,2,1262,1,3,3,2,25,1
4,33,4,7253,1,4,3,2,35,1
4,6,4,6761,1,4,1,3,45,1
4,18,4,1817,1,3,4,2,28,1
4,12,2,2141,2,4,3,1,35,1
4,48,1,3609,1,3,1,1,27,1
4,30,2,2333,3,5,4,2,30,1
4,28,1,7824,5,2,3,4,40,1
3,18,1,1445,5,4,4,4,49,1
1,24,2,7721,5,2,1,2,30,1
1,21,2,3763,5,4,2,2,24,1
2,18,2,4439,1,5,1,1,33,1
1,12,2,1107,1,3,2,2,20,1
2,15,2,1444,5,2,4,1,23,1
2,48,1,12169,5,1,4,4,36,1
4,9,2,2753,2,5,3,4,35,1
3,4,2,1494,5,2,1,2,29,1
1,24,1,2828,3,3,4,4,22,1
1,24,1,2483,3,3,4,4,22,1
3,6,4,1299,1,3,1,1,74,1
2,9,2,1549,5,2,4,2,35,1
3,10,2,3949,1,2,1,1,37,1
4,10,2,2901,5,2,1,4,31,1
3,6,2,709,4,2,2,2,27,1
1,47,2,10722,1,2,1,1,35,1
4,10,2,1287,5,5,4,2,45,1
1,18,1,1940,1,2,3,4,36,1
3,30,4,3656,5,5,4,4,49,1
4,24,3,4679,1,4,3,3,35,1
4,27,3,8613,4,3,2,2,27,1
1,18,2,2659,4,3,4,2,28,1
4,24,4,1516,4,3,4,1,43,1
1,18,2,4380,2,3,3,4,35,1
4,14,3,802,1,3,4,2,27,1
4,21,2,1572,4,5,4,4,36,1
2,48,1,3566,2,4,4,2,30,1
4,24,2,1278,1,5,4,1,36,1
4,6,0,426,1,5,4,4,39,1
4,39,2,8588,2,5,4,2,45,1
1,30,2,3857,1,3,4,4,40,1
2,12,2,685,1,4,2,3,25,0
1,24,2,1603,1,5,4,4,55,1
4,21,2,2241,1,5,4,2,50,1
1,24,2,2384,1,5,4,4,64,1
4,4,2,601,1,2,1,3,23,1
4,39,2,2569,3,3,4,4,24,1
4,15,4,1316,3,3,2,2,47,1
4,60,2,10366,1,5,2,4,42,1
4,18,2,1568,2,3,3,4,24,1
4,18,4,629,3,5,4,3,32,1
4,6,1,1750,3,5,2,4,45,1
4,24,2,3488,2,4,3,4,23,1
4,18,4,1800,1,3,4,2,24,1
4,24,3,4151,2,3,2,3,35,1
2,15,2,2631,2,3,3,2,25,1
4,21,2,5248,5,3,1,3,26,1
2,18,3,2899,5,5,4,4,43,1
2,18,3,6204,1,3,2,4,44,1
4,12,2,804,1,5,4,4,38,1
4,36,2,3595,1,5,4,2,28,1
4,36,4,5711,4,5,4,2,38,1
3,15,2,2687,1,4,2,4,26,1
1,15,3,3643,1,5,1,4,27,1
4,10,4,2146,1,2,1,3,23,1
1,10,2,2315,1,5,3,4,52,1
4,5,2,3448,1,4,1,4,74,1
4,15,2,2708,1,2,2,3,27,1
4,11,4,1393,1,2,4,4,35,1
3,10,2,1275,1,2,4,2,23,1
4,9,2,1313,1,5,1,4,20,1
4,12,2,1493,1,2,4,3,34,1
4,22,2,2675,3,5,3,4,40,1
2,9,2,2118,1,3,2,2,37,1
4,36,2,909,3,5,4,4,36,1
4,12,4,1258,1,2,2,4,22,1
4,15,1,1569,2,5,4,4,34,1
4,6,2,1236,3,3,2,4,50,1
4,36,3,7678,3,4,2,4,40,1
4,6,2,660,3,4,2,4,23,1
4,24,2,2835,3,5,3,4,53,1
4,24,2,2670,1,5,4,4,35,1
4,12,1,3447,3,3,4,3,35,1
4,15,2,3568,1,5,4,2,54,1
2,21,4,3652,1,4,2,3,27,1
1,24,2,3660,1,3,2,4,28,1
3,9,2,1126,2,5,2,4,49,1
3,6,3,683,1,2,2,1,29,1
3,12,2,2251,1,3,1,2,46,1
4,12,2,4675,5,2,1,4,20,1
2,21,3,2353,1,3,1,4,47,1
1,21,2,3357,4,2,4,2,29,1
4,6,2,672,1,1,1,4,54,1
1,6,4,338,3,5,4,4,52,1
4,9,2,2697,1,3,1,2,32,1
4,9,2,2507,3,5,2,4,51,1
4,15,3,1478,1,3,4,3,33,1
4,12,4,3565,5,2,2,1,37,1
4,15,2,2221,3,3,2,4,20,1
4,6,4,1898,5,3,1,2,34,1
2,6,3,1449,2,5,1,2,31,1
4,15,3,960,4,4,3,2,30,1
4,36,2,8133,1,3,1,2,30,1
4,9,2,2301,2,2,2,4,22,1
4,6,3,1743,2,3,1,2,34,1
2,12,2,983,4,2,1,4,19,1
4,18,3,2320,1,1,2,3,34,1
1,12,1,339,1,5,4,1,45,1
3,24,2,5152,1,4,4,2,25,1
3,24,2,3749,1,2,2,4,26,1
4,9,4,3074,5,3,1,2,33,1
3,9,2,745,1,3,3,2,28,0
4,24,2,1469,2,5,4,4,41,1
1,6,2,1374,1,3,1,2,36,1
4,6,1,783,5,3,1,2,26,1
1,21,2,2606,1,2,4,4,28,1
4,54,0,9436,5,3,2,2,39,1
4,12,4,930,5,5,4,4,65,1
4,48,4,2751,5,5,4,3,38,1
4,6,4,250,4,3,2,2,41,1
2,24,2,1201,1,2,4,1,26,1
1,6,2,662,1,2,3,4,41,1
4,15,2,1300,5,5,4,4,45,1
4,24,1,1559,1,4,4,4,40,1
3,12,2,3016,1,3,3,1,24,1
4,15,4,1360,1,3,4,2,31,1
4,6,0,1204,2,3,4,1,35,1
4,10,2,1597,3,3,3,2,40,1
4,12,2,2073,2,3,4,2,28,1
4,11,2,2142,4,5,1,2,28,1
1,10,4,2132,5,2,2,3,27,1
4,10,2,1546,1,3,3,2,31,1
4,24,4,1287,4,5,4,4,37,1
4,10,2,1418,2,3,3,2,35,1
3,6,4,1343,1,5,1,4,46,1
4,18,2,2662,5,4,4,3,32,1
4,18,4,6070,1,5,3,4,33,1
4,24,4,1927,5,3,3,2,33,1
4,18,4,2404,1,3,2,2,26,1
4,6,4,1554,1,4,1,2,24,1
4,22,2,1283,5,4,4,4,25,1
4,24,3,717,5,5,4,4,54,1
1,24,2,1747,1,2,4,1,24,1
1,9,4,1288,2,5,3,4,48,1
1,10,4,1038,1,4,4,3,49,1
4,10,2,2848,2,3,1,2,32,1
4,12,2,1413,4,4,3,2,55,1
4,30,4,3077,5,5,3,2,40,1
1,24,1,3632,1,3,1,4,22,1
4,18,4,3229,5,1,2,4,38,1
4,9,2,3577,2,3,1,2,26,1
4,12,4,682,2,4,4,3,51,1
4,10,2,1924,1,3,1,4,38,1
4,10,2,727,3,5,4,4,46,1
3,10,4,781,1,5,4,4,63,1
1,12,4,2121,1,3,4,2,30,1
4,12,4,701,1,3,4,2,32,1
4,10,4,2069,5,3,2,1,26,1
4,24,2,1525,4,4,4,3,34,1
4,48,4,7629,5,5,4,2,46,1
1,12,4,3499,1,3,3,2,29,0
4,6,2,1346,2,5,2,4,42,1
4,36,4,10477,5,5,2,4,42,1
1,24,2,2924,1,3,3,4,63,1
4,10,4,1231,1,5,3,4,32,1
3,18,2,1961,1,5,3,2,23,1
4,15,4,5045,5,5,1,4,59,1
4,12,4,1255,1,5,4,4,61,1
1,12,2,1858,1,2,4,1,22,1
4,6,4,1221,5,3,1,2,27,1
4,9,2,1388,1,3,4,2,26,1
4,12,2,2279,5,3,4,4,37,1
4,12,0,2759,1,5,2,4,34,1
3,24,2,1258,3,3,3,3,57,1
2,12,0,1410,1,3,2,2,31,1
1,15,2,1403,1,3,2,4,28,1
1,24,2,3021,1,3,2,2,24,1
1,24,2,6568,1,3,2,2,21,1
4,24,4,2578,4,5,2,2,34,1
2,24,4,7758,4,5,2,4,29,1
1,6,2,343,1,2,4,1,27,1
4,21,3,1591,2,4,4,3,34,1
1,27,2,3416,1,3,3,2,27,1
1,12,0,1108,1,4,4,3,28,0
2,27,3,5965,1,5,1,2,30,1
2,15,2,1514,2,3,4,2,22,1
4,30,4,6742,5,4,2,3,36,1
1,18,2,3650,1,2,1,4,22,1
1,21,2,3599,1,4,1,4,26,1
4,60,4,13756,5,5,2,4,63,1
2,9,2,276,1,3,4,4,22,1
4,42,4,4041,3,3,4,4,36,1
2,9,2,458,1,3,4,3,24,1
2,9,2,918,1,3,4,1,30,0
4,24,2,7393,1,3,1,4,43,1
3,10,2,1225,1,3,2,2,37,1
1,24,2,2812,5,5,2,4,26,1
4,15,2,3029,1,4,2,2,33,1
3,12,4,1480,3,1,2,4,66,1
3,6,4,1047,1,3,2,4,50,1
4,15,4,1471,1,3,4,4,35,1
4,24,2,5511,2,3,4,1,25,1
2,9,2,1206,1,5,4,4,25,1
2,24,3,6403,1,2,1,2,33,1
4,12,2,707,1,3,4,2,30,1
4,12,3,1503,1,3,4,4,41,1
2,12,2,6078,1,4,2,2,32,1
2,27,2,2528,1,2,4,1,32,1
2,12,2,1037,2,4,3,4,39,1
1,6,2,1352,3,1,1,2,23,1
4,24,2,3181,1,2,4,4,26,1
4,18,2,4594,1,2,3,2,32,1
2,48,2,5381,5,1,3,4,40,1
4,15,2,4657,1,3,3,2,30,1
2,9,2,1391,1,3,2,1,27,1
2,18,2,1913,4,2,3,3,36,1
4,42,2,7166,5,4,2,4,29,1
4,13,2,1409,2,1,2,4,64,1
4,24,3,2978,5,3,4,4,32,1
4,12,4,976,5,5,4,4,35,1
4,24,3,2375,3,3,4,2,44,1
4,12,4,522,3,5,4,4,42,1
4,28,4,2743,1,5,4,2,29,1
4,11,4,1154,2,1,4,4,57,1
4,24,4,5804,4,3,4,2,27,1
4,18,4,1169,5,3,4,3,29,1
1,15,4,1478,1,5,4,4,44,1
4,12,2,776,1,3,4,2,28,1
2,11,4,1322,4,3,4,4,40,1
2,16,4,1175,1,1,2,3,68,1
4,12,2,2133,5,5,4,4,52,1
4,15,4,1829,1,5,4,4,46,1
4,12,4,717,1,5,4,4,52,1
2,39,3,11760,2,4,2,3,32,1
2,9,4,1501,1,5,2,3,34,0
1,12,2,1200,5,3,4,4,23,1
2,9,2,3195,5,3,1,2,33,1
4,30,4,4530,1,4,4,4,26,1
4,12,3,1555,4,5,4,4,55,0
2,15,4,2326,3,3,2,4,27,1
2,18,4,1887,5,3,4,4,28,1
4,12,4,1264,5,5,4,4,57,1
4,7,3,846,5,5,3,4,36,1
4,15,4,1532,2,3,4,3,31,1
4,6,3,935,1,3,3,2,24,1
1,27,4,2442,1,5,4,4,43,1
2,18,4,3590,1,1,3,3,40,1
4,21,4,2288,1,2,4,4,23,1
4,27,3,5117,1,4,3,4,26,1
1,39,4,14179,5,4,4,4,30,1
4,15,2,1386,5,3,4,2,40,1
4,12,4,618,1,5,4,4,56,1
4,12,2,1574,1,3,4,2,50,1
4,6,4,700,5,5,4,4,36,1
4,12,2,886,5,3,4,2,21,1
4,36,2,4686,1,3,2,2,32,1
2,9,2,790,3,3,4,3,66,1
2,12,2,766,3,3,4,3,66,0
1,20,2,2212,5,4,4,4,39,1
2,10,2,7308,1,1,2,4,70,1
2,24,4,5743,1,2,2,4,24,1
1,14,2,3973,1,1,1,4,22,1
2,60,3,7418,5,3,1,1,27,1
2,20,3,2629,1,3,2,3,29,1
2,18,2,1941,4,3,4,2,35,1
2,24,3,2333,5,2,4,2,29,1
4,12,2,2445,5,2,2,4,26,1
2,20,2,6468,5,1,1,4,60,1
2,18,4,7374,1,1,4,4,40,1
4,15,2,3812,2,2,1,4,23,1
1,28,2,4006,1,3,3,2,45,0
2,12,2,7472,5,1,1,2,24,1
3,12,2,1424,5,5,3,4,55,1
2,12,2,2028,5,3,4,2,30,1
4,15,2,5324,3,5,1,4,35,1
2,36,2,2323,1,4,4,4,24,1
4,12,2,1393,1,5,4,4,47,1
4,18,2,1984,1,3,4,4,47,1
4,24,2,999,5,5,4,2,25,1
4,36,2,7409,5,5,3,2,37,1
4,15,2,2186,5,4,1,4,33,1
3,36,2,4473,1,5,4,2,31,1
4,24,2,937,1,2,4,3,27,1
4,18,2,3422,1,5,4,4,47,1
4,24,2,3105,5,2,4,2,25,1
4,12,4,2748,1,5,2,4,57,1
2,18,2,3872,1,1,2,4,67,1
4,27,2,5190,5,5,4,4,48,1
2,18,2,3001,1,4,2,4,40,1
4,24,3,3863,1,3,1,2,32,1
4,12,4,5801,5,5,2,4,49,1
4,12,4,1592,4,4,3,2,35,1
4,12,4,1185,1,3,3,2,27,1
4,18,4,3780,1,2,3,2,35,1
2,18,4,3612,1,5,3,4,37,1
4,12,2,1076,1,3,2,2,26,1
4,12,2,3527,5,2,2,3,45,1
4,18,2,2051,1,2,4,1,33,1
4,12,4,3331,1,5,2,4,42,1
1,18,0,3104,1,4,3,1,31,1
4,24,4,2611,1,5,4,3,46,1
1,12,4,1409,1,5,4,3,54,1
4,24,2,1311,2,4,4,3,26,1
4,6,2,2108,1,4,2,2,29,1
4,24,4,4042,5,4,3,4,43,1
4,12,4,926,1,1,1,2,38,1
1,12,2,1680,3,5,3,1,35,1
4,24,2,1249,1,2,4,2,28,1
4,24,4,2463,2,4,4,3,27,1
4,6,2,1595,1,4,3,2,51,1
4,24,4,2058,1,3,4,2,33,1
4,24,2,7814,1,4,3,3,38,1
4,6,4,1740,1,5,2,2,30,1
4,12,4,1240,5,5,4,2,38,1
4,24,4,6842,5,3,2,4,46,1
4,24,4,5150,1,5,4,4,33,1
1,6,2,1203,2,5,3,2,43,1
4,6,4,2080,3,3,1,2,24,1
4,6,2,1538,1,2,1,2,56,1
2,24,4,3878,2,2,4,2,37,1
2,30,2,3832,1,2,2,1,22,1
4,15,2,3186,4,4,2,3,20,1
2,24,2,2896,2,2,2,1,29,1
2,24,3,6967,2,4,4,4,36,1
4,36,2,1819,1,3,4,4,37,0
4,24,2,5943,5,2,1,1,44,0
4,36,4,7127,1,2,2,4,23,0
4,36,2,3349,1,3,4,2,28,0
4,36,2,10974,1,1,4,2,26,0
4,6,2,518,1,3,3,1,29,1
4,18,2,1126,5,2,4,2,21,1
2,12,4,1860,1,1,4,2,34,1
4,36,4,9566,1,3,2,2,31,1
1,12,2,701,1,3,4,2,40,1
2,12,2,2930,1,4,2,1,27,1
4,18,2,1505,1,3,4,2,32,1
4,18,4,2238,1,3,2,1,25,1
4,4,4,1503,1,4,2,1,42,1
4,24,4,2197,5,4,4,4,43,1
3,12,2,1881,1,3,2,2,44,1
1,18,4,1880,1,4,4,1,32,1
1,18,2,2389,1,2,4,1,27,1
2,24,2,1967,1,5,4,4,20,1
4,4,4,3380,1,4,1,1,37,1
4,4,4,1455,1,4,2,1,42,1
4,7,4,730,5,5,4,2,46,1
2,18,0,3244,1,3,1,4,33,1
2,9,2,1670,1,2,4,2,22,0
2,48,2,3979,5,4,4,1,41,1
2,12,2,1922,1,3,4,2,37,0
2,18,4,1295,1,2,4,1,27,1
4,4,4,1544,1,4,2,1,42,1
2,8,2,907,1,2,3,2,26,1
2,30,2,1715,5,3,4,1,26,1
3,10,4,1347,5,4,4,2,27,1
2,12,2,1007,4,3,4,1,22,1
4,12,4,1402,3,4,3,4,37,1
2,12,2,2002,1,4,3,4,30,1
4,12,4,2096,1,4,2,3,49,1
4,12,2,1101,1,3,3,2,27,1
4,10,2,894,5,4,4,3,40,1
2,11,2,1577,4,2,4,1,20,1
4,33,3,2764,1,3,2,2,26,1
2,48,0,8358,3,2,1,1,30,1
3,12,2,1474,1,2,4,1,33,1
4,24,2,5433,5,1,2,4,26,1
2,14,2,1410,3,5,1,2,35,1
4,20,4,3485,5,2,2,4,44,1
4,18,4,3850,1,4,3,1,27,1
2,60,2,7408,2,2,4,2,24,0
3,24,2,1377,2,5,4,2,47,1
4,30,3,4272,2,3,2,2,26,1
2,24,3,1553,2,4,3,2,23,1
2,36,3,9857,2,4,1,3,31,1
4,6,4,362,2,3,4,4,52,1
4,12,4,1935,1,5,4,4,43,1
4,48,2,10222,5,4,4,3,37,1
3,12,2,1330,1,2,4,1,26,1
4,36,2,9055,5,3,2,4,35,1
2,26,2,7966,1,2,2,3,30,1
2,30,1,3496,4,3,4,2,34,1
2,36,2,6948,1,3,2,2,35,1
2,48,0,12204,5,3,2,2,48,1
1,36,2,3446,1,5,4,2,42,0
1,12,2,684,1,3,4,4,40,0
1,33,4,4281,3,3,1,4,23,0
1,42,2,7174,5,4,4,3,30,0
1,24,1,1546,1,4,4,4,24,0
1,24,2,2359,2,1,1,1,33,0
4,24,2,3621,2,5,2,4,31,0
1,12,2,741,2,1,4,3,22,0
1,12,2,7865,1,5,4,4,53,0
1,24,2,2910,1,4,2,1,34,1
1,18,4,5302,1,5,2,4,36,1
1,36,2,3620,1,3,1,2,37,1
1,18,2,3509,1,4,4,1,25,1
2,12,2,3017,1,2,3,1,34,1
1,12,2,1657,1,3,2,2,27,1
1,8,4,1164,1,5,3,4,51,1
1,36,4,6229,1,2,4,4,23,0
1,24,1,1193,1,1,1,4,29,0
1,30,0,4583,1,3,2,2,32,1
1,36,4,5371,1,3,3,2,28,1
1,12,2,708,1,3,2,3,38,1
1,21,4,571,1,5,4,4,65,1
1,30,2,2522,1,5,1,3,39,1
1,36,2,5179,1,4,4,2,29,0
1,36,2,8229,1,3,2,2,26,0
4,24,4,2028,1,4,2,2,30,1
1,6,2,1374,5,1,4,3,75,1
1,12,2,1289,1,3,4,1,21,1
1,36,2,2712,1,5,2,2,41,0
1,15,4,975,1,3,2,3,25,1
2,6,3,1050,1,1,4,1,35,1
1,6,4,609,1,4,4,3,37,1
1,48,2,4788,1,4,4,3,26,1
2,24,2,3069,2,5,4,4,30,1
2,12,2,836,2,2,4,2,23,0
1,12,2,2577,1,3,2,1,42,1
1,12,2,1620,1,3,2,3,30,1
1,15,2,1845,1,2,4,1,46,1
1,24,2,6579,1,1,4,2,29,1
1,12,2,1893,1,3,4,4,29,1
1,30,4,10623,1,5,3,4,38,1
1,18,2,2249,2,4,4,3,30,1
1,30,2,3108,1,2,2,4,31,0
2,12,4,958,1,4,2,3,47,1
4,24,2,9277,5,3,2,4,48,1
4,24,4,6314,1,1,4,2,27,1
1,12,4,1526,1,5,4,4,66,1
1,12,2,3590,1,3,2,2,29,1
1,24,4,6615,1,1,2,4,75,1
1,6,4,1872,1,1,4,4,36,1
4,12,2,2859,5,1,4,4,38,1
4,18,4,1582,4,5,4,4,46,1
4,6,2,1238,5,1,4,4,36,1
1,12,2,2578,1,1,3,4,55,1
1,15,4,1433,1,3,4,3,25,1
1,42,2,7882,1,4,2,4,45,1
1,24,2,4169,1,3,4,4,28,1
1,36,2,3959,1,1,4,3,30,1
1,36,2,3249,1,4,2,4,39,1
1,24,2,3149,1,2,4,1,22,1
1,12,4,2246,1,5,3,3,60,0
1,13,4,1797,1,2,3,1,28,1
1,20,4,4272,1,5,1,4,24,1
1,24,4,2957,1,5,4,4,63,1
1,36,4,2348,1,3,3,2,46,1
3,42,0,6289,1,2,2,1,33,1
1,24,4,6419,1,5,2,4,44,1
1,48,4,6143,1,5,4,4,58,0
4,24,4,1597,1,5,4,4,54,1
1,36,2,15857,1,1,2,3,43,1
4,24,4,2223,2,5,4,4,52,1
4,48,3,7238,5,5,3,3,32,1
2,30,3,2503,2,5,4,2,41,1
2,18,2,2622,2,3,4,4,34,1
2,24,2,4351,5,3,1,4,48,1
2,6,2,368,5,5,4,4,38,1
2,12,2,754,5,5,4,4,38,1
4,24,4,2424,5,5,4,4,53,1
2,48,3,6681,5,3,4,4,38,1
2,18,3,2427,5,5,4,2,42,1
2,24,4,1216,2,2,4,4,38,0
2,6,2,753,1,3,2,3,64,1
2,7,2,2576,1,3,2,2,35,1
2,6,2,590,1,2,3,3,26,1
2,8,2,1414,1,3,4,2,33,1
2,12,2,1103,1,4,4,3,29,1
